Rank,Tier,Name,Type,Stages,Sectors,Score
71,TIER 1,Perfect Redd,VC,"Pre-Revenue, Early Revenue, Revenue","Clean Energy Industries, Life Sciences, Advanced Manufacturing",125
72,TIER 1,River Capital,VC,"Pre-Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",125
73,TIER 1,Saxovent Smart Eco Investments,Family Office,"Pre-Revenue, Early Revenue, Revenue",Clean Energy Industries,125
74,TIER 1,Sie Ventures,VC,"Pre-Revenue, Revenue","Clean Energy Industries, Creative Industries, Defence and Security, Digital and Technologies, Financial Services",125
75,TIER 1,Aer Ventures,Accelerator / Incubator,"Early Revenue, Pre-Revenue","Advanced Manufacturing, Clean Energy Industries",120
76,TIER 1,Carbon13,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Life Sciences, Advanced Manufacturing, Financial Services, Creative Industries",120
77,TIER 1,Counteract Partners,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Creative Industries, Advanced Manufacturing, Financial Services",120
78,TIER 1,REGENERATE VENTURES,VC,"Pre-Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",120
79,TIER 1,ELSOMS SEEDS,VC,"Pre-Revenue, Early Revenue","Clean Energy Industries, Advanced Manufacturing",115
80,TIER 1,Cancer Research Technology Limited,VC,Pre-Revenue,"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",110
81,TIER 1,Deeptech Seed Fund,VC,Pre-Revenue,"Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Professional and Business Services",110
82,TIER 1,QUBIS,VC,Pre-Revenue,"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",110
83,TIER 1,AgriZeroNZ,Public-Private Partnership,"Pre-Revenue, Early Revenue, Growth","Clean Energy Industries, Advanced Manufacturing",105
84,TIER 2,24Haymarket Limited,VC,"Early Revenue, Revenue, Growth","Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences",120
85,TIER 2,ACT Venture Partners,VC,"Early Revenue, Revenue, Growth","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",120
86,TIER 2,BLACK SEED VENTURES,VC,"Early Revenue, Revenue, Growth","Digital and Technologies, Advanced Manufacturing, Clean Energy Industries, Creative Industries, Life Sciences, Financial Services",120
87,TIER 2,Clarendon Fund Managers Limited,"Angel Network, VC","Early Revenue, Revenue, Growth","Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences",120
88,TIER 2,Salica Investments (formerly Hambro Perks),VC (Late-Stage),"Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",120
89,TIER 2,Atlantic Bridge,VC,"Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",115
90,TIER 2,Clean Energy Ventures,VC,"Early Revenue, Revenue, Growth","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",115
91,TIER 2,Social Tech Trust,VC,"Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",115
92,TIER 2,SOSV,VC,"Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",115
93,TIER 2,SPEEDINVEST,VC,"Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",115
94,TIER 2,SURE VALLEY VENTURES,VC,"Early Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",115
95,TIER 2,The Yield Lab,VC,"Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",115
96,TIER 2,Tricapital Angels,Angel Network,"Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",115
97,TIER 2,VALA CAPITAL VENTURES LTD,VC,"Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",115
98,TIER 2,Vectr investment Partners,VC,"Early Revenue, Revenue, Growth","Clean Energy Industries, Creative Industries, Digital and Technologies, Advanced Manufacturing",115
99,TIER 2,Bloc Ventures Ltd,VC,"Early Revenue, Revenue","Clean Energy Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",110
100,TIER 2,CORNERSTONE VENTURES,VC,"Early Revenue, Revenue","Digital and Technologies, Life Sciences, Clean Energy Industries, Advanced Manufacturing",110
101,TIER 2,Diffusion Capital ,VC,"Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",110
102,TIER 2,Growth Impact Fund,VC,"Early Revenue, Revenue","Clean Energy Industries, Creative Industries, Digital and Technologies, Advanced Manufacturing",110
103,TIER 2,Par Equity LLP,VC,"Early Revenue, Revenue","Digital and Technologies, Advanced Manufacturing, Life Sciences, Clean Energy Industries",110
104,TIER 2,Praesidium S.A.,VC,"Early Revenue, Revenue, Growth","Clean Energy Industries, Life Sciences, Advanced Manufacturing",100
105,TIER 2,Rabo Investments,VC,"Early Revenue, Revenue, Growth, Mature","Clean Energy Industries, Life Sciences, Advanced Manufacturing",100
106,TIER 2,Conduit connect,VC,"Early Revenue, Revenue","Clean Energy Industries, Life Sciences",95
107,TIER 3,EMV Capital,VC,"Revenue, Growth, Mature","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",100
108,TIER 3,bP Ventures,Corporate VC,"Revenue, Growth, Mature","Creative Industries, Clean Energy Industries, Life Sciences, Digital and Technologies",95
109,TIER 3,MMC Ventures Limited,VC,Revenue,"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",95
110,TIER 3,ATLAS VENTURES SYNDICATE LIMITED,VC,Revenue,"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",90
111,TIER 3,BERINGEA,VC,"Revenue, Growth","Creative Industries, Advanced Manufacturing, Life Sciences, Clean Energy Industries, Financial Services",85
112,TIER 3,CLEAN GROWTH FUND,VC,,"Clean Energy Industries, Advanced Manufacturing, Creative Industries, Life Sciences, Digital and Technologies, Financial Services",85
113,TIER 3,Committed Capital Financial Services,VC,,"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",85
114,TIER 3,Amadeus Capital Partners Ltd,VC,,"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",80
115,TIER 3,Barclays Climate Ventures,Corporate VC,"Revenue, Growth","Advanced Manufacturing, Clean Energy Industries, Life Sciences",80
116,TIER 3,Cibus Capital LLP,VC,"Revenue, Growth, Mature, Exit Ready","Advanced Manufacturing, Clean Energy Industries",80
117,TIER 3,Cottagequinn Enterprises Ltd,Family Office,,"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",80
118,TIER 3,EIT InnoEnergy,VC,,"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",80
119,TIER 3,NextEnergy Capital,VC,,"Clean Energy Industries, Digital and Technologies",80
120,TIER 3,Ebico,Angel Network,Growth,Clean Energy Industries,75
121,TIER 3,AgFunder,VC,,"Advanced Manufacturing, Clean Energy Industries",65
122,TIER 3,DEEP SCIENCE VENTURES,VC,,"Advanced Manufacturing, Clean Energy Industries, Life Sciences",65
123,TIER 3,Unilever Europe,VC,,"Clean Energy Industries, Advanced Manufacturing",65
